title,book_cat,author,year,rating,total_ratings,description,book_link,review_link
Probabilistic Programming & Bayesian Methods for Hackers,Data Mining and Machine Learning,Cam Davidson-Pilon,2015,4.0,151,"illuminates Bayesian inference through probabilistic programming with the powerful PyMC language and the closely related Python tools NumPy, SciPy, and Matplotlib. Using this approach, you can reach effective solutions in small increments.",http://camdavidsonpilon.github.io/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/,https://www.amazon.com/Bayesian-Methods-Hackers-Probabilistic-Addison-Wesley/dp/0133902838/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=a45ae9f632336bbb659887b796a275f7&language=en_US
Real-World Active Learning,Data Mining and Machine Learning,Ted Cuzzillo,2015,0.0,0,Applications and Strategies for Human-in-the-loop Machine Learning.,http://www.oreilly.com/data/free/files/real-world-active-learning.pdf,None
Reinforcement Learning: An Introduction,Data Mining and Machine Learning,Richard S. Sutton & Andrew G. Barto,2012,4.5,452,A clear and simple account of the key ideas and algorithms of reinforcement learning. Their discussion ranges from the history of the field's intellectual foundations to the most recent developments and applications.,http://people.inf.elte.hu/lorincz/Files/RL_2006/SuttonBook.pdf,http://www.amazon.com/gp/product/0262193981/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0262193981&linkCode=as2&tag=learnds-20&linkId=A75CVMV2RRAHZKKO
Social Media Mining An Introduction,Data Mining and Machine Learning,"Reza Zafarani, Mohammad Ali Abbasi, & Huan Liu",2014,4.1,1,"Suitable for use in advanced undergraduate and beginning graduate courses as well as professional short courses, the text contains exercises of different degrees of difficulty that improve understanding and help apply concepts in social media mining",http://dmml.asu.edu/smm/book/,http://www.amazon.com/gp/product/1107018854/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1107018854&linkCode=as2&tag=learnds-20&linkId=HND3KYMEP2YN5PW4
Theory and Applications for Advanced Text Mining,Data Mining and Machine Learning,Shigeaki Sakurai,2012,0.0,0,This book is composed of 9 chapters introducing advanced text mining techniques. They are various techniques from relation extraction to under or less resourced language.,http://www.intechopen.com/books/theory-and-applications-for-advanced-text-mining,None
Understanding Machine Learning: From Theory to Algorithms,Data Mining and Machine Learning,Shai Shalev-Shwartz,2014,4.2,86,"The aim of this textbook is to introduce machine learning, and the algorithmic paradigms it offers, in a principled way.",http://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html,https://www.amazon.com/Understanding-Machine-Learning-Theory-Algorithms/dp/1107057132/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=35429fde434fee2e8a4e08d026a96e35&language=en_US
An Introduction to Data Science,Data Science in General,"Jeffrey Stanton, Syracuse University",,4.0,3,This book was developed for the Certificate of Data Science pro- gram at Syracuse University’s School of Information Studies.,https://docs.google.com/file/d/0B6iefdnF22XQeVZDSkxjZ0Z5VUE/edit?pli=1,None
Data Jujitsu: The Art of Turning Data into Product,Data Science in General,DJ Patil,2012,3.8,217,"Learn how to use a problem's ""weight"" against itself. Learn more about the problems before starting on the solutions—and use the findings to solve them, or determine whether the problems are worth solving at all.",http://www.oreilly.com/data/free/data-jujitsu.csp,None
School of Data Handbook,Data Science in General,School of Data,2015,0.0,0,The School of Data Handbook is a companion text to the School of Data. Its function is something like a traditional textbook – it will provide the detail and background theory to support the School of Data courses and challenges.,http://schoolofdata.org/handbook/,None
The Art of Data Science,Data Science in General,Roger D. Peng & Elizabeth Matsui,2015,3.7,12,"This book describes the process of analyzing data. The authors have extensive experience both managing data analysts and conducting their own data analyses, and this book is a distillation of their experience...",https://leanpub.com/artofdatascience,https://www.amazon.com/Art-Data-Science-Roger-Peng/dp/1365061469/ref=as_li_ss_tl?&linkCode=ll1&tag=learnds-20&linkId=cb5dec01179c110636a783d4cfa7845a&language=en_US
